season,games,brier,logloss
2019,169,0.2331591867261395,0.6591173862737666
2020,158,0.2241934709257642,0.6396144497499621
2021,177,0.22749998967115861,0.646381892609739
2022,184,0.22444958653672573,0.6423467655509731
2023,181,0.22413412037732636,0.6398240219235878
2024,178,0.21035575227389777,0.6090600969820281
