bin,n,win_rate,p_hat
"(-50, -7]",328,0.8109756097560976,0.8033637635481943
"(-7, -3]",478,0.6276150627615062,0.6300980948702816
"(-3, 0]",212,0.5141509433962265,0.5345557490503353
"(0, 3]",15,0.4666666666666667,0.37533405089994715
"(3, 7]",10,0.4,0.2663209532326558
"(7, 50]",4,0.25,0.1653050263859739
