p,y
0.5539360407646915,1
0.5465208062450039,1
0.4221157131382676,0
0.5504969433976258,1
0.5539360407646915,1
0.4309028076351912,0
0.4608187249674911,0
0.536035227720037,1
0.5936023215920486,1
0.3897840095945715,0
0.5663944679882627,1
0.5504969433976258,1
0.400109462396706,0
0.5746992638808913,1
0.5504969433976258,1
0.3854327618577849,0
0.4564592203316058,0
0.32651297825595,0
0.388226807646251,0
0.4316002429113743,0
0.5473228804645782,1
0.4657919371021771,0
0.3465985174093686,0
0.4026910711763508,0
0.5525769704775925,1
0.5892771927660349,1
0.3709473103816179,0
0.5764769363753793,1
0.5441053634822521,1
0.5357236179992501,0
0.5805495811549584,1
0.4813370410246493,0
0.5060274977495315,1
0.6411707871774315,1
0.5402406975568361,0
0.5534348871775377,1
0.5013738024112906,0
0.3480633654748112,0
0.4812679317744411,0
0.578304204366679,1
0.446325059512664,0
0.4917458809064642,0
0.4559622838799726,0
0.6869600739809845,1
0.4167667751561208,0
0.4347087474824859,0
0.4327249725574368,1
0.4409828411265268,0
0.5253971857047415,1
0.3638750795001008,0
0.623702834750426,1
0.4237116634397574,1
0.5458974899705865,0
0.5482581169239679,1
0.3593687746764019,0
0.5349398888788546,1
0.50839861528069,0
0.4748694954867425,1
0.420705909130154,0
0.5951259395596552,1
0.5050251239512628,1
0.6423832147219581,1
0.6521550205259379,1
0.3965699310602696,0
0.5092801633532057,1
0.4413503870899821,1
0.5532250876544829,0
0.6876780300224415,1
0.6180644168807996,1
0.3879223439523522,0
0.4519282520129015,0
0.5287336433503149,0
0.5211539783602633,1
0.3646321786583039,0
0.518733907861641,1
0.6829285450294762,1
0.3251691508920206,0
0.390138086871396,0
0.6279997849513648,1
0.4189534829942724,0
0.4599129413185897,0
0.300559480996846,0
0.2910924151307341,0
0.3409841790700641,0
0.438454038289727,0
0.457337780234418,0
0.3519917500308754,0
0.5298551526226869,1
0.4485854380848446,0
0.6850967382634225,1
0.334272362287554,0
0.524493507390876,1
0.635774534894002,1
0.5192939252826709,0
0.3237719122383365,0
0.6001521374966434,1
0.7484157520119691,1
0.639710139081936,1
0.4070234919123415,0
0.388536523241933,1
0.3906032145776109,1
0.3607278478536498,0
0.3089008655045702,1
0.7671392248722207,1
0.5844288591694893,1
0.2794257744904897,0
0.4454718766398742,0
0.4294564349119807,1
0.4632139333506661,0
0.6679263570843212,1
0.3626881918730077,0
0.753751040322373,1
0.2870169819767117,0
0.5828465266078735,1
0.4701759651255714,1
0.4442087461113692,1
0.5536909869459218,1
0.5971510503259297,1
0.7573697376977325,1
0.4391480962629082,1
0.6760515071737419,1
0.2751941593367287,0
0.258965182993761,0
0.5198500215204678,1
0.5064663533268514,1
0.7358540662460521,1
0.3710639840369483,0
0.4209669415498454,0
0.6512464079383703,1
0.6089104545119318,1
0.6432692618236371,1
0.4975641693861328,0
0.4843937190570578,0
0.2901255895750703,0
0.2262825167606455,0
0.5776275207750694,1
0.3656295344185791,1
0.4847546178288804,0
0.7193319274512071,1
0.5666336717035511,1
0.2958171309981953,0
0.3174951124299305,0
0.5853802511750581,0
0.6650680372703437,1
0.3246492372438442,0
0.8350069219294586,1
0.6489843696103598,1
0.3707352007015345,0
0.6146402834005498,1
0.4733353682082598,0
0.4570567443868598,1
0.2113246018927663,0
0.5809714468974716,1
0.4316397422786607,1
0.6523979048913683,1
0.3259728951560255,0
0.3181305067239257,1
0.237930287826136,0
0.2289969464586853,0
0.6502324653223637,0
0.2109525247631615,0
0.6098932456070885,1
0.2363834110022789,0
0.5259039648682905,0
0.2131844019735762,0
0.6355550799022495,1
0.2782688547703466,0
0.4332856655023368,0
0.8264799351591611,1
0.6793301220233277,1
0.6849870755419581,1
0.8075629672328379,1
0.3519119608731222,0
0.3703918879465739,0
0.2758799720258985,0
0.7064803752174107,1
0.4007168430826904,0
0.353340114687473,0
0.6455496255820758,1
0.234390826675243,0
0.3739636371649874,0
0.3731896823735411,0
0.5969692771536291,1
0.6502000867713046,1
0.5822274642912899,1
0.7510494616476304,1
0.3482523635769678,0
0.8638592592699413,1
0.7365898413858933,1
0.8142955850234662,1
0.4774076976658725,0
0.3399881145777361,0
0.4164579113506783,1
0.4125889995680053,1
0.4514347556058883,0
0.7606245835318596,1
0.2509493148915011,0
0.6303184819436956,1
0.3921974721749012,0
0.3883029649929419,0
0.1615606032936695,0
0.2990653638511806,0
0.6384978171771576,1
0.6510917084856246,1
0.5759732583610513,0
0.3872534547847988,0
0.7041783510468571,1
0.3755847428906481,0
0.7655149411451742,1
0.2755090641978019,0
0.5367623535044027,1
0.5490177945852904,1
0.6381174215850188,1
0.7466598671226324,1
0.8072252515068237,1
0.3869813405147774,1
0.1941973681501541,0
0.7302725135496609,1
0.6593419349833902,1
0.3041844115173755,0
0.302076708358614,1
0.2980317841376628,0
0.4649869811487948,1
0.3102706161988455,1
0.7794465464445626,1
0.3423520118661241,0
0.2922012333766397,0
0.3428694158290054,0
0.2069879900230831,0
0.5342151027577607,1
0.6864711094518605,1
0.7811166844129073,1
0.5628328659429817,1
0.5186970769230551,0
0.3769628719632584,1
0.7967864834117995,1
0.8131833464876774,1
0.2744753391942655,0
0.5747668174458903,1
0.6022939101109787,1
