player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
16624,Foster,Moreau,TE,87,70,NO,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
108837,Mike,Morris,DE,94,79,SEA,ROSTER,leg,QUESTIONABLE,2025-09-15T12:40:02.401Z
166722,Benjamin,Morrison,CB,21,71,TB,ROSTER,quadricep,QUESTIONABLE,2025-09-15T12:40:02.401Z
166900,Kalel,Mullings,RB,28,67,TEN,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
166948,Konata,Mumpfield,WR,15,77,LA,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
17009,Sean,Murphy-Bunting,CB,23,76,ARI,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
133959,Malik,Mustapha,FS,6,78,SF,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
133840,Malik,Nabers,WR,1,53,NYG,ROSTER,back,QUESTIONABLE,2025-09-15T12:40:02.401Z
108863,Puka,Nacua,WR,12,77,LA,ROSTER,concussion,QUESTIONABLE,2025-09-15T12:40:02.401Z
166926,Jack,Nelson,OT,69,68,ATL,ROSTER,calf,QUESTIONABLE,2025-09-15T12:40:02.401Z
16414,Matt,Nelson,OT,68,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
18620,Lucas,Niang,OT,53,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
15051,Bilal,Nichols,DE,92,,,UFA,neck,OUT,2025-09-15T12:40:02.401Z
166690,Walter,Nolan,DE,,76,ARI,ROSTER,calf,OUT,2025-09-15T12:40:02.401Z
166732,Omarr,Norman-Lott,DT,55,73,KC,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
12952,Storm,Norton,OT,77,,,UFA,ankle,OUT,2025-09-15T12:40:02.401Z
112199,Trevor,Nowaske,LB,53,61,DET,ROSTER,elbow,QUESTIONABLE,2025-09-15T12:40:02.401Z
7326,Rakeem,Nunez-Roches,DT,93,53,NYG,ROSTER,foot,QUESTIONABLE,2025-09-15T12:40:02.401Z
30927,Kene,Nwangwu,RB,34,51,NYJ,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
15031,Uchenna,Nwosu,OLB,7,79,SEA,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
79873,Aidan,O'Connell,LB,12,,,UFA,wrist,OUT,2025-09-15T12:40:02.401Z
