game_id,home_score,away_score
148758,41,17
148759,31,27
148760,40,37
148761,52,21
148762,27,33
148763,21,26
148764,10,30
148765,17,31
148766,19,33
148767,27,22
148768,29,28
148769,17,20
148770,6,22
