team_abbr,elo
ARI,1500
ATL,1500
BAL,1500
BUF,1500
CAR,1500
CHI,1500
CIN,1500
CLE,1500
DAL,1500
DEN,1500
DET,1500
GB,1500
HOU,1500
IND,1500
JAX,1500
KC,1500
LA,1500
LAC,1500
LV,1500
MIA,1500
MIN,1500
NE,1500
NO,1500
NYG,1500
NYJ,1500
PHI,1500
PIT,1500
SEA,1500
SF,1500
TB,1500
TEN,1500
WAS,1500
