home_abbr,away_abbr,p_home_pre_injury,p_home_post_injury_raw,p_home_post_injury_cal,dp_injury_raw,p_home_model,market_p_home,edge,calibration_used
ARI,SEA,0.3626993601255608,0.3638977480246234,0.13151172308931736,0.0011983878990625696,0.13151172308931736,0.513806287170773,-0.3822945640814557,1
PIT,MIN,0.2498530119517013,0.21557159337857498,0.0076249960814830835,-0.034281418573126304,0.0076249960814830835,0.4248871695680207,-0.4172621734865376,1
ATL,WAS,0.3977060898890213,0.42333116998268266,0.29447769565934545,0.02562508009366138,0.29447769565934545,0.3799472295514512,-0.08546953389210576,1
BUF,NO,0.8114408217480913,0.8051528134117986,0.997874955146213,-0.0062880083362927275,0.997874955146213,0.9065989847715736,0.09127597037463941,1
DET,CLE,0.8912201883993395,0.8983969898887946,0.9999034011871224,0.007176801489455098,0.9999034011871224,0.7966101694915254,0.203293231695597,1
HOU,TEN,0.7363304418852209,0.7129081729245439,0.9833935187957318,-0.023422268960677006,0.9833935187957318,0.7519134336236474,0.2314800851720844,1
NE,CAR,0.4852261819498318,0.5396807420157195,0.7368762022535722,0.05445456006588767,0.7368762022535722,0.6517385257301808,0.08513767652339144,1
NYG,LAC,0.1957176481952489,0.2026030650764693,0.005554349098626413,0.0068854168812204075,0.005554349098626413,0.2955665024630542,-0.2900121533644278,1
TB,PHI,0.3933836087812725,0.3620740437199549,0.1278921146407898,-0.0313095650613176,0.1278921146407898,0.4050285815722364,-0.2771364669314466,1
LA,IND,0.7074771278295507,0.7183156338725041,0.9850687138390388,0.010838506042953333,0.9850687138390388,0.6341463414634145,0.3509223723756243,1
SF,JAX,0.6764903474027737,0.5671578268075317,0.8148670132074738,-0.10933252059524201,0.8148670132074738,0.6211096075778079,0.19375740562966592,1
KC,BAL,0.4252658308494241,0.422454351505252,0.2914519523168206,-0.0028114793441720853,0.2914519523168206,0.4372278664731495,-0.1457759141563289,1
LV,CHI,0.4155122241105242,0.4641175016466088,0.4497956141404362,0.04860527753608462,0.4497956141404362,0.4607930386631069,-0.010997424522670718,1
DAL,GB,0.2640413807645675,0.2533346509863183,0.017779724313583153,-0.010706729778249213,0.017779724313583153,0.274796097541835,-0.2570163732282518,1
MIA,NYJ,0.6106153111497669,0.6398070534518568,0.9381412691660432,0.029191742302089985,0.9381412691660432,0.5757575757575758,0.36238369340846743,1
DEN,CIN,0.4657848972422392,0.5285177562577734,0.7000192126136623,0.06273285901553421,0.7000192126136623,0.7373290060359733,-0.037309793422311,1
