home_team,away_team,date,elo_home,elo_away,elo_diff
SEATTLE SEAHAWKS,NEW YORK GIANTS,2024-10-06,1458.9511521694478,1474.818570550879,39.13258161856879
PITTSBURGH STEELERS,DALLAS COWBOYS,2024-10-06,1528.1868789733026,1594.6189245480336,-11.432045574731092
KANSAS CITY CHIEFS,NEW ORLEANS SAINTS,2024-10-07,1639.847504784373,1565.9103756994457,128.9371290849274
CHICAGO BEARS,JACKSONVILLE JAGUARS,2024-10-13,1497.5674608897127,1435.4088528015,117.15860808821276
BALTIMORE RAVENS,WASHINGTON COMMANDERS,2024-10-13,1631.6447541085422,1496.1705373180805,190.4742167904617
GREEN BAY PACKERS,ARIZONA CARDINALS,2024-10-13,1557.8080912491664,1424.6796687516444,188.12842249752202
PHILADELPHIA EAGLES,CLEVELAND BROWNS,2024-10-13,1613.3575228891575,1433.6101919991088,234.74733089004872
TENNESSEE TITANS,INDIANAPOLIS COLTS,2024-10-13,1398.7781835431172,1505.959392176639,-52.18120863352192
NEW ENGLAND PATRIOTS,JACKSONVILLE JAGUARS,2024-10-20,1383.9870334458674,1466.0456389517028,-27.05860550583543
ATLANTA FALCONS,SEATTLE SEAHAWKS,2024-10-20,1412.0363997432355,1492.3865129742665,-25.350113231030946
BUFFALO BILLS,TENNESSEE TITANS,2024-10-20,1634.3792309939129,1389.335918869705,300.0433121242079
GREEN BAY PACKERS,HOUSTON TEXANS,2024-10-20,1566.2709384851173,1532.2964246217334,88.97451386338389
INDIANAPOLIS COLTS,MIAMI DOLPHINS,2024-10-20,1518.5570540680571,1433.5870140395643,139.9700400284928
MINNESOTA VIKINGS,DETROIT LIONS,2024-10-20,1473.8406506065182,1559.6634027086568,-30.822752102138566
LOS ANGELES RAMS,LAS VEGAS RAIDERS,2024-10-20,1452.2379100619642,1453.0763394815085,54.161570580455646
WASHINGTON COMMANDERS,CAROLINA PANTHERS,2024-10-20,1511.8129693480046,1337.00381865227,229.80915069573462
SAN FRANCISCO 49ERS,KANSAS CITY CHIEFS,2024-10-20,1588.7909756840577,1665.519924194493,-21.728948510435202
CINCINNATI BENGALS,PHILADELPHIA EAGLES,2024-10-27,1493.7198461387322,1640.0287060739367,-91.30885993520451
DETROIT LIONS,TENNESSEE TITANS,2024-10-27,1573.9302299185747,1375.069091659787,253.8611382587876
HOUSTON TEXANS,INDIANAPOLIS COLTS,2024-10-27,1543.113858250539,1507.7396204392517,90.37423781128723
MIAMI DOLPHINS,ARIZONA CARDINALS,2024-10-27,1425.6260111572583,1432.6406716339504,47.98533952330786
LOS ANGELES CHARGERS,NEW ORLEANS SAINTS,2024-10-27,1488.2757399273942,1532.612939448413,10.662800478981126
DENVER BRONCOS,CAROLINA PANTHERS,2024-10-27,1521.4459046028446,1326.6523547797012,249.7935498231434
WASHINGTON COMMANDERS,CHICAGO BEARS,2024-10-27,1522.6091634004265,1486.771266837291,90.83789656313547
SAN FRANCISCO 49ERS,DALLAS COWBOYS,2024-10-27,1605.148690593844,1578.2612096382472,81.88748095559686
PITTSBURGH STEELERS,NEW YORK GIANTS,2024-10-28,1542.7998959871593,1460.2055535370223,137.594342450137
NEW YORK JETS,HOUSTON TEXANS,2024-10-31,1457.6752683943766,1518.2997297496356,-5.624461355258973
ATLANTA FALCONS,DALLAS COWBOYS,2024-11-03,1436.294136171526,1554.0034732099568,-62.70933703843093
BALTIMORE RAVENS,DENVER BRONCOS,2024-11-03,1649.612944983054,1503.477713728333,201.13523125472102
BUFFALO BILLS,MIAMI DOLPHINS,2024-11-03,1638.8285456193644,1421.1766965318068,272.6518490875576
CINCINNATI BENGALS,LAS VEGAS RAIDERS,2024-11-03,1513.9810654034109,1432.81512021683,136.16594518658076
TENNESSEE TITANS,NEW ENGLAND PATRIOTS,2024-11-03,1386.8571164528098,1372.199008652845,69.65810779996491
ARIZONA CARDINALS,CHICAGO BEARS,2024-11-03,1462.99771500135,1456.4142234698916,61.58349153145832
PHILADELPHIA EAGLES,JACKSONVILLE JAGUARS,2024-11-03,1646.8813178698558,1459.1930271557835,242.6882907140723
MINNESOTA VIKINGS,INDIANAPOLIS COLTS,2024-11-03,1494.2840002119178,1487.296270833852,61.98772937806575
KANSAS CITY CHIEFS,TAMPA BAY BUCCANEERS,2024-11-04,1673.186988097934,1489.9007448085963,238.2862432893378
BALTIMORE RAVENS,CINCINNATI BENGALS,2024-11-07,1652.8053026499133,1510.7887077365515,197.0165949133618
CAROLINA PANTHERS,NEW YORK GIANTS,2024-11-10,1343.0131156627249,1443.8447926539986,-45.83167699127375
CHICAGO BEARS,NEW ENGLAND PATRIOTS,2024-11-10,1419.628314689891,1408.984917432845,65.64339725704622
KANSAS CITY CHIEFS,DENVER BRONCOS,2024-11-10,1677.478322613906,1499.1863792123606,233.29194340154527
WASHINGTON COMMANDERS,PITTSBURGH STEELERS,2024-11-10,1515.1042928510344,1550.3047665365511,19.799526314483273
LOS ANGELES CHARGERS,TENNESSEE TITANS,2024-11-10,1501.2139768530617,1373.9188795271425,182.2950973259192
LOS ANGELES RAMS,MIAMI DOLPHINS,2024-11-11,1425.9596697093698,1447.4549368844011,33.50473282496864
PHILADELPHIA EAGLES,WASHINGTON COMMANDERS,2024-11-14,1657.1867652824442,1504.798845438446,207.38791984399813
DETROIT LIONS,JACKSONVILLE JAGUARS,2024-11-17,1593.4799336616786,1439.6433234126798,208.8366102489988
MIAMI DOLPHINS,LAS VEGAS RAIDERS,2024-11-17,1469.0142595514624,1411.2557975497689,112.75846200169349
NEW YORK JETS,INDIANAPOLIS COLTS,2024-11-17,1450.3231875086435,1494.648351719585,10.674835789058534
DENVER BRONCOS,ATLANTA FALCONS,2024-11-17,1521.5252941674291,1413.9552212164574,162.57007295097173
SAN FRANCISCO 49ERS,SEATTLE SEAHAWKS,2024-11-17,1586.4905866099837,1511.0446169581269,130.44596965185679
BUFFALO BILLS,KANSAS CITY CHIEFS,2024-11-17,1660.609729541717,1655.6971386915538,59.91259085016304
LOS ANGELES CHARGERS,CINCINNATI BENGALS,2024-11-17,1518.9390401074618,1493.0636444821516,80.87539562531015
HOUSTON TEXANS,TENNESSEE TITANS,2024-11-24,1493.3578165793092,1398.8607926974687,149.4970238818405
MIAMI DOLPHINS,NEW ENGLAND PATRIOTS,2024-11-24,1488.3875115250953,1389.6116654592115,153.7758460658838
WASHINGTON COMMANDERS,DALLAS COWBOYS,2024-11-24,1482.5188187040717,1576.2834999443312,-38.764681240259506
GREEN BAY PACKERS,SAN FRANCISCO 49ERS,2024-11-24,1596.112477683538,1556.6490474115628,94.46343027197508
DETROIT LIONS,CHICAGO BEARS,2024-11-28,1598.785290493542,1414.322957858028,239.46233263551403
DALLAS COWBOYS,NEW YORK GIANTS,2024-11-28,1586.0061531962808,1434.122139402049,206.8840137942318
GREEN BAY PACKERS,MIAMI DOLPHINS,2024-11-28,1609.950193632647,1474.5497955759863,190.4003980566606
KANSAS CITY CHIEFS,LAS VEGAS RAIDERS,2024-11-29,1658.6250493555497,1408.3278868857728,305.2971624697768
CINCINNATI BENGALS,PITTSBURGH STEELERS,2024-12-01,1473.7497364786966,1569.6186745400062,-40.868938061309564
MINNESOTA VIKINGS,ARIZONA CARDINALS,2024-12-01,1499.3306338777904,1457.9510813354773,96.37955254231315
NEW YORK JETS,SEATTLE SEAHAWKS,2024-12-01,1432.7463371203785,1528.6214673463924,-40.87513022601388
WASHINGTON COMMANDERS,TENNESSEE TITANS,2024-12-01,1501.0793298631934,1380.300281538347,175.77904832484637
BALTIMORE RAVENS,PHILADELPHIA EAGLES,2024-12-01,1632.7568577956297,1677.2352101367278,10.521647658901884
BUFFALO BILLS,SAN FRANCISCO 49ERS,2024-12-01,1677.9882305111717,1539.2705464421078,193.7176840690638
DENVER BRONCOS,CLEVELAND BROWNS,2024-12-02,1534.722672747697,1420.4128134188409,169.3098593288562
DETROIT LIONS,GREEN BAY PACKERS,2024-12-05,1610.671567775916,1598.0639163502728,67.6076514256431
MIAMI DOLPHINS,NEW YORK JETS,2024-12-08,1488.1258548154497,1419.1702778809151,123.95557693453452
MINNESOTA VIKINGS,ATLANTA FALCONS,2024-12-08,1517.2469864480731,1396.0388686461747,176.20811780189842
NEW YORK GIANTS,NEW ORLEANS SAINTS,2024-12-08,1422.220777141211,1544.514301709251,-67.29352456803986
PHILADELPHIA EAGLES,CAROLINA PANTHERS,2024-12-08,1680.4152931023386,1339.833032697114,395.5822604052246
PITTSBURGH STEELERS,CLEVELAND BROWNS,2024-12-08,1581.0103391602054,1409.0211487986417,226.98919036156371
TAMPA BAY BUCCANEERS,LAS VEGAS RAIDERS,2024-12-08,1506.242156589658,1391.9864751047114,169.25568148494654
TENNESSEE TITANS,JACKSONVILLE JAGUARS,2024-12-08,1364.4383892900278,1455.505215660999,-36.066826370971285
ARIZONA CARDINALS,SEATTLE SEAHAWKS,2024-12-08,1433.6309032164445,1552.9416454654252,-64.31074224898066
