alpha,logloss,brier,ece,n
0.5,0.6048343135868198,0.20658215438196134,0.2182589143236381,178
0.55,0.6132746921928346,0.21060667002558203,0.23049970753551555,178
0.6,0.6220119689806026,0.21481762884725047,0.20374554685728205,178
0.65,0.6310527541974129,0.2192150308469665,0.19000675093301111,178
0.7,0.6404045850423544,0.2237988760247301,0.1945395421729204,178
0.75,0.6500759717691762,0.22856916438054117,0.17654688357495,178
0.8,0.6600764569976841,0.23352589591440018,0.1740912042204637,178
