team_abbr,player_id,player_name,position,status_norm,designation,practice,injury_desc,status_raw,last_updated
NE,79755,Christian Gonzalez,CB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,39113,Kyler Gordon,CB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,133898,Renardo Green,CB,QUESTIONABLE,,,neck,QUESTIONABLE,2025-09-24T13:29:18.304Z
DEN,16134,Dre Greenlaw,ILB,OUT,,,quadricep,OUT,2025-09-24T13:29:18.304Z
DAL,133863,Tyler Guyton,T,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
GB,134047,Kamal Hadden,CB,QUESTIONABLE,,,hip,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,166703,Maxwell Hairston,CB,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
CLE,133888,Michael Hall Jr.,DT,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
MIN,13136,C.J. Ham,FB,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
LA,108847,Nick Hampton,LB,QUESTIONABLE,,,illness,QUESTIONABLE,2025-09-24T13:29:18.304Z
TEN,17037,Blake Hance,G,QUESTIONABLE,,,calf,QUESTIONABLE,2025-09-24T13:29:18.304Z
BUF,166831,Jordan Hancock,FS,QUESTIONABLE,,,shoulder,QUESTIONABLE,2025-09-24T13:29:18.304Z
SEA,7791,Johnathan Hankins,DT,OUT,,,back,OUT,2025-09-24T13:29:18.304Z
WAS,16400,Will Harris,FS,OUT,,,leg,OUT,2025-09-24T13:29:18.304Z
LAC,13433,Najee Harris,RB,QUESTIONABLE,,,achilles,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,18563,Malik Harrison,LB,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
LAC,133976,Cam Hart,CB,QUESTIONABLE,,,hip,QUESTIONABLE,2025-09-24T13:29:18.304Z
ARI,15393,Will Hernandez,G,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,18674,Alex Highsmith,LB,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
NO,12975,Taysom Hill,TE,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
DAL,13038,Malik Hooker,FS,QUESTIONABLE,,,foot,QUESTIONABLE,2025-09-24T13:29:18.304Z
PIT,166897,Will Howard,QB,OUT,,,hand,OUT,2025-09-24T13:29:18.304Z
BAL,12751,Marlon Humphrey,CB,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
CAR,18646,Robert Hunt,G,OUT,,,bicep,OUT,2025-09-24T13:29:18.304Z
NYG,79811,Jalin Hyatt,WR,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
HOU,39133,Ed Ingram,G,QUESTIONABLE,,,abdominal,QUESTIONABLE,2025-09-24T13:29:18.304Z
TB,112283,Christian Izien,FS,QUESTIONABLE,,,oblique,QUESTIONABLE,2025-09-24T13:29:18.304Z
LA,30199,Alaric Jackson,OT,QUESTIONABLE,,,tailbone,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,18644,Austin Jackson,OT,OUT,,,lower body,OUT,2025-09-24T13:29:18.304Z
CHI,56787,D'Marco Jackson,LB,QUESTIONABLE,,,hamstring,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,18599,Jonah Jackson,G,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,166812,Jordan James,RB,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,19011,Jauan Jennings,WR,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
ARI,168044,Will Johnson,CB,QUESTIONABLE,,,groin,QUESTIONABLE,2025-09-24T13:29:18.304Z
KC,39239,Nazeeh Johnson,CB,OUT,,,shoulder,OUT,2025-09-24T13:29:18.304Z
CHI,18575,Jaylon Johnson,CB,OUT,,,groin,OUT,2025-09-24T13:29:18.304Z
NYJ,39100,Jermaine Johnson II,LB,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
ARI,79744,Paris Johnson Jr.,OT,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,30443,Mac Jones,QB,QUESTIONABLE,,,knee,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIN,12978,Aaron Jones,RB,OUT,,,hamstring,OUT,2025-09-24T13:29:18.304Z
JAX,133931,Jarrian Jones,CB,QUESTIONABLE,,,back,QUESTIONABLE,2025-09-24T13:29:18.304Z
WAS,9940,Jonathan Jones,CB,OUT,,,hamstring,OUT,2025-09-24T13:29:18.304Z
DET,16193,Jamarco Jones,OT,OUT,,,ankle,OUT,2025-09-24T13:29:18.304Z
CLE,79849,Dawand Jones,T,OUT,,,knee,OUT,2025-09-24T13:29:18.304Z
ARI,133925,Elijah Jones,CB,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,47841,Jaylon Jones,DB,OUT,,,hamstring,OUT,2025-09-24T13:29:18.304Z
PIT,79752,Broderick Jones,T,QUESTIONABLE,,,lower body,QUESTIONABLE,2025-09-24T13:29:18.304Z
CHI,39216,Braxton Jones,OT,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
SEA,50434,Josh Jones,G,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,18914,Benito Jones,DT,QUESTIONABLE,,,oblique,QUESTIONABLE,2025-09-24T13:29:18.304Z
CAR,30975,Patrick Jones II,LB,QUESTIONABLE,,,ankle,QUESTIONABLE,2025-09-24T13:29:18.304Z
WAS,167922,Ale Kaho,LB,QUESTIONABLE,,,undisclosed,QUESTIONABLE,2025-09-24T13:29:18.304Z
TB,79757,Calijah Kancey,DE,OUT,,,pectoral,OUT,2025-09-24T13:29:18.304Z
CHI,8464,Case Keenum,QB,QUESTIONABLE,,,leg,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIN,9895,Ryan Kelly,C,QUESTIONABLE,,,head,QUESTIONABLE,2025-09-24T13:29:18.304Z
SF,13457,George Kittle,TE,OUT,,,hamstring,OUT,2025-09-24T13:29:18.304Z
BUF,16054,Dawson Knox,TE,QUESTIONABLE,,,hip,QUESTIONABLE,2025-09-24T13:29:18.304Z
MIA,48434,Kader Kohou,CB,OUT,,,leg,OUT,2025-09-24T13:29:18.304Z
